state,slope_deg,rainfall_24h_mm,rainfall_72h_mm,elevation_m,soil_moisture_pct,pore_pressure_kpa,insar_deformation_mm_yr,lithology_factor,vibration_g,risk_score,risk_class,risk_tier
Sikkim,47.7,190.6,492.3,1790.0,67.3,35.5,26.4,2.48,0.218,65.3,1,MODERATE
Sikkim,33.7,299.9,543.9,2812.0,71.3,31.3,29.8,2.21,0.257,63.3,1,MODERATE
Meghalaya,22.8,398.8,1111.6,1206.0,89.6,63.8,42.2,2.08,0.202,90.4,2,HIGH
Meghalaya,21.4,473.1,1289.6,398.0,98.0,70.4,43.5,2.08,0.248,95.6,2,HIGH
Meghalaya,49.4,258.8,627.5,601.0,64.9,28.7,48.5,2.28,0.201,68.9,1,MODERATE
Sikkim,47.1,306.4,457.8,2391.0,69.8,34.0,64.9,2.42,0.268,85.0,2,HIGH
Meghalaya,27.3,379.1,944.2,569.0,82.7,53.8,32.5,2.14,0.193,73.0,2,HIGH
Sikkim,45.7,198.9,563.8,2175.0,57.2,25.1,43.8,2.35,0.176,66.8,1,MODERATE
Meghalaya,22.5,245.2,700.3,544.0,68.4,31.0,19.6,2.33,0.18,57.8,1,MODERATE
Arunachal Pradesh,47.8,111.4,356.9,1174.0,44.3,10.7,41.8,1.79,0.146,54.4,1,MODERATE
Sikkim,50.2,350.4,795.9,2616.0,83.4,52.8,23.7,2.39,0.251,75.7,2,HIGH
Sikkim,51.4,275.7,782.1,1972.0,72.3,32.5,57.0,2.47,0.245,80.0,2,HIGH
Meghalaya,35.2,55.6,165.2,725.0,41.6,12.7,41.5,2.4,0.106,45.5,1,MODERATE
Sikkim,39.4,335.7,767.9,2378.0,80.9,51.1,47.6,2.22,0.238,84.2,2,HIGH
Sikkim,54.4,191.8,413.9,1325.0,62.7,29.2,50.0,2.43,0.241,73.4,2,HIGH
Sikkim,54.2,163.3,374.2,2992.0,56.1,23.7,38.8,2.22,0.249,63.1,1,MODERATE
Sikkim,52.5,72.9,250.8,1298.0,42.5,11.6,11.6,2.42,0.19,49.7,1,MODERATE
Meghalaya,21.3,393.7,858.9,1389.0,88.3,61.0,34.2,2.34,0.185,88.8,2,HIGH
Meghalaya,35.5,461.9,1077.7,1263.0,97.8,68.8,34.3,2.03,0.266,91.4,2,HIGH
Sikkim,53.0,287.0,557.1,2795.0,72.4,34.5,38.3,2.6,0.254,79.2,2,HIGH
Sikkim,52.0,54.3,116.3,2956.0,39.1,10.4,56.8,2.23,0.155,55.2,1,MODERATE
Arunachal Pradesh,32.6,186.2,347.8,702.0,48.9,14.1,47.3,1.83,0.143,51.5,1,MODERATE
Arunachal Pradesh,33.5,144.7,353.5,832.0,49.7,17.1,23.2,2.05,0.114,46.3,1,MODERATE
Arunachal Pradesh,51.5,65.1,189.4,632.0,34.3,9.5,30.9,1.73,0.133,44.0,1,MODERATE
Meghalaya,40.0,169.4,346.8,751.0,54.7,20.0,32.6,2.08,0.207,57.3,1,MODERATE
Arunachal Pradesh,31.4,193.6,516.6,1650.0,57.4,25.2,50.6,1.86,0.153,51.3,1,MODERATE
Meghalaya,33.0,498.7,1386.9,963.0,98.0,76.9,42.0,2.16,0.251,96.7,2,HIGH
Meghalaya,24.8,135.9,292.9,671.0,44.9,13.6,19.2,2.32,0.113,41.4,1,MODERATE
Meghalaya,40.5,323.8,685.6,333.0,76.4,36.5,38.7,2.3,0.256,81.7,2,HIGH
Meghalaya,37.0,417.6,715.7,757.0,86.6,51.9,44.4,2.02,0.233,86.9,2,HIGH
Sikkim,45.3,32.5,139.8,2307.0,36.0,12.8,44.6,2.57,0.173,47.5,1,MODERATE
Arunachal Pradesh,30.6,26.1,77.9,1732.0,37.1,9.1,32.0,1.9,0.064,41.4,1,MODERATE
Arunachal Pradesh,57.9,305.5,775.3,1208.0,81.4,47.1,61.0,2.07,0.284,93.7,2,HIGH
Arunachal Pradesh,37.9,289.0,519.5,911.0,72.3,42.3,54.2,1.85,0.213,78.0,2,HIGH
Meghalaya,24.9,241.8,470.9,682.0,64.1,27.0,29.5,2.26,0.151,53.8,1,MODERATE
Arunachal Pradesh,56.3,338.0,852.3,1045.0,83.9,54.1,55.9,1.82,0.261,87.3,2,HIGH
Sikkim,52.1,64.7,228.3,2973.0,40.2,12.2,18.3,2.27,0.188,44.0,1,MODERATE
Sikkim,33.9,407.5,870.6,1644.0,96.2,67.7,47.1,2.5,0.258,93.8,2,HIGH
Arunachal Pradesh,56.1,301.2,687.3,948.0,76.4,42.8,38.8,1.82,0.248,77.1,2,HIGH
Arunachal Pradesh,31.3,82.4,194.9,2693.0,43.4,10.2,33.2,1.82,0.087,40.5,1,MODERATE
Sikkim,41.3,94.1,195.4,2824.0,48.3,12.6,42.3,2.57,0.16,58.8,1,MODERATE
Sikkim,48.2,190.2,491.6,1349.0,61.6,23.6,19.1,2.34,0.207,57.3,1,MODERATE
Meghalaya,17.4,335.3,828.5,1156.0,75.5,40.6,9.9,2.23,0.182,58.5,1,MODERATE
Arunachal Pradesh,39.0,304.7,504.8,920.0,71.2,34.1,16.6,2.1,0.197,65.8,1,MODERATE
Arunachal Pradesh,36.9,315.6,847.9,1252.0,82.0,47.0,22.4,1.78,0.216,65.2,1,MODERATE
Arunachal Pradesh,55.1,221.5,386.5,1929.0,63.2,29.4,19.6,1.78,0.229,60.4,1,MODERATE
Arunachal Pradesh,26.1,188.6,393.0,2169.0,56.9,23.0,42.9,1.73,0.129,51.5,1,MODERATE
Sikkim,50.1,47.2,167.2,1617.0,39.3,10.1,10.4,2.33,0.179,42.7,1,MODERATE
Arunachal Pradesh,28.5,144.5,343.3,2174.0,50.4,14.6,14.6,1.76,0.115,39.7,0,LOW
Meghalaya,39.9,70.7,208.3,641.0,44.5,11.1,4.3,2.19,0.113,35.0,0,LOW
Sikkim,32.4,152.8,287.8,1917.0,54.9,19.7,42.2,2.2,0.157,53.2,1,MODERATE
Arunachal Pradesh,33.3,323.1,717.3,1125.0,69.0,35.5,7.1,1.81,0.209,61.3,1,MODERATE
Meghalaya,22.4,474.3,1249.7,472.0,98.0,67.3,22.9,2.31,0.187,87.7,2,HIGH
Meghalaya,21.3,350.1,630.7,1010.0,73.3,37.0,9.9,2.17,0.198,61.5,1,MODERATE
Meghalaya,39.2,200.5,520.3,508.0,57.5,21.6,12.8,2.33,0.182,55.4,1,MODERATE
Meghalaya,23.1,480.3,1334.7,366.0,98.0,70.2,20.1,2.01,0.234,93.4,2,HIGH
Sikkim,36.4,302.1,626.6,1211.0,72.9,35.2,37.4,2.5,0.213,68.5,1,MODERATE
Sikkim,31.3,196.2,569.7,1604.0,62.7,25.2,56.4,2.24,0.124,60.4,1,MODERATE
Meghalaya,17.9,131.9,337.2,940.0,41.8,9.0,20.2,2.21,0.114,33.6,0,LOW
Meghalaya,41.6,101.6,192.2,769.0,50.8,14.3,4.6,2.01,0.189,39.7,0,LOW
Meghalaya,23.6,537.3,1045.2,705.0,98.0,72.8,38.4,2.06,0.239,90.5,2,HIGH
Sikkim,49.2,170.6,428.1,1346.0,57.6,25.6,54.3,2.32,0.245,66.3,1,MODERATE
Arunachal Pradesh,39.1,135.6,366.4,805.0,51.1,18.4,48.6,1.92,0.144,52.7,1,MODERATE
Arunachal Pradesh,51.1,234.9,511.4,1063.0,66.2,30.1,35.8,1.96,0.241,64.1,1,MODERATE
Meghalaya,36.2,470.2,749.3,744.0,96.1,68.6,17.3,2.19,0.246,91.6,2,HIGH
Arunachal Pradesh,34.8,257.3,721.5,2871.0,75.6,46.4,31.5,1.73,0.197,61.3,1,MODERATE
Arunachal Pradesh,51.4,330.0,601.2,3174.0,78.8,46.6,70.6,1.82,0.266,91.7,2,HIGH
Arunachal Pradesh,34.8,15.4,52.7,2186.0,37.3,13.8,5.9,1.99,0.135,27.1,0,LOW
Arunachal Pradesh,29.2,61.1,229.8,1582.0,32.1,6.1,52.4,1.96,0.093,38.4,0,LOW
Sikkim,30.0,307.7,612.3,1223.0,77.7,43.5,57.8,2.43,0.18,76.7,2,HIGH
Meghalaya,28.4,373.1,1064.7,807.0,82.5,48.9,5.7,2.33,0.214,69.2,1,MODERATE
Arunachal Pradesh,53.8,378.4,905.3,1181.0,81.9,43.5,54.5,1.83,0.287,85.0,2,HIGH
Sikkim,47.3,76.6,196.7,2647.0,41.9,10.5,43.0,2.51,0.162,47.2,1,MODERATE
Meghalaya,44.7,124.0,272.9,440.0,58.0,20.7,26.9,2.03,0.197,61.4,1,MODERATE
Arunachal Pradesh,26.6,122.9,379.2,1015.0,55.5,15.7,39.6,1.76,0.128,47.6,1,MODERATE
Arunachal Pradesh,54.5,42.2,192.6,2301.0,34.7,10.8,54.9,1.91,0.177,53.7,1,MODERATE
Meghalaya,41.8,392.1,788.2,815.0,83.8,55.6,38.1,2.1,0.26,79.9,2,HIGH
Sikkim,39.0,348.2,730.3,1499.0,79.2,42.8,13.5,2.25,0.24,70.9,2,HIGH
Arunachal Pradesh,37.8,255.8,571.8,384.0,68.3,32.8,13.0,1.89,0.229,65.2,1,MODERATE
Arunachal Pradesh,53.6,123.5,258.4,314.0,53.5,21.6,16.4,1.72,0.18,50.5,1,MODERATE
Meghalaya,23.9,176.6,435.8,1071.0,54.9,19.2,42.4,2.22,0.132,55.9,1,MODERATE
Meghalaya,17.8,518.0,1323.8,1377.0,98.0,69.2,31.0,2.33,0.223,95.3,2,HIGH
Meghalaya,26.3,543.5,1046.3,1084.0,98.0,76.0,21.4,2.4,0.275,91.4,2,HIGH
Sikkim,55.5,63.6,191.2,1438.0,47.8,12.3,27.8,2.22,0.197,53.0,1,MODERATE
Arunachal Pradesh,32.1,176.5,326.5,2679.0,47.2,17.6,47.4,1.92,0.168,58.3,1,MODERATE
Meghalaya,30.6,27.7,119.1,514.0,33.9,6.8,24.0,2.01,0.114,35.3,0,LOW
Meghalaya,41.7,297.4,567.4,404.0,66.4,29.8,18.1,2.15,0.221,63.4,1,MODERATE
Meghalaya,48.3,488.3,892.2,917.0,98.0,80.0,55.4,2.1,0.316,99.0,2,HIGH
Meghalaya,37.6,44.2,189.3,686.0,31.1,6.1,18.5,2.4,0.135,38.8,0,LOW
Arunachal Pradesh,55.6,48.3,144.0,710.0,36.8,7.1,45.6,1.87,0.194,57.7,1,MODERATE
Arunachal Pradesh,57.6,30.1,131.5,3089.0,35.2,5.0,14.0,1.72,0.149,42.4,1,MODERATE
Arunachal Pradesh,43.0,188.4,522.2,1042.0,63.3,25.5,65.7,2.05,0.181,70.8,2,HIGH
Meghalaya,37.1,412.0,941.2,553.0,87.0,57.7,35.7,2.15,0.235,86.2,2,HIGH
Meghalaya,39.2,94.2,235.1,824.0,44.5,12.7,8.2,2.27,0.129,40.8,1,MODERATE
Sikkim,54.7,373.0,1075.4,1575.0,92.6,59.9,43.6,2.34,0.311,99.0,2,HIGH
Meghalaya,22.0,187.0,335.4,1376.0,54.9,15.0,4.0,2.28,0.161,39.8,0,LOW
Meghalaya,42.9,409.6,967.4,473.0,87.4,51.1,41.2,2.12,0.264,87.4,2,HIGH
Arunachal Pradesh,28.0,131.3,222.1,1922.0,44.2,16.6,11.6,1.8,0.107,41.2,1,MODERATE
Meghalaya,45.2,325.9,914.3,1353.0,85.8,52.2,56.4,2.07,0.225,81.9,2,HIGH
Sikkim,40.0,200.0,497.7,1321.0,57.9,23.8,60.6,2.49,0.182,68.7,1,MODERATE
Meghalaya,43.4,27.3,120.0,1338.0,44.0,7.9,32.5,2.27,0.118,47.9,1,MODERATE
Sikkim,31.3,120.1,347.0,1597.0,56.6,21.5,20.4,2.5,0.123,51.8,1,MODERATE
Sikkim,46.1,343.5,558.1,1873.0,74.4,36.4,18.2,2.59,0.288,72.1,2,HIGH
Sikkim,43.1,151.8,358.4,2541.0,50.1,12.1,22.0,2.28,0.181,52.7,1,MODERATE
Sikkim,49.5,379.8,1004.5,2921.0,80.8,43.5,22.6,2.24,0.254,76.3,2,HIGH
Sikkim,52.8,148.0,455.0,2576.0,54.9,17.6,71.0,2.33,0.246,71.4,2,HIGH
Arunachal Pradesh,33.0,126.7,211.1,215.0,43.8,11.9,41.2,1.79,0.164,45.2,1,MODERATE
Sikkim,33.4,305.0,801.2,1654.0,75.3,40.4,10.8,2.49,0.229,65.3,1,MODERATE
Sikkim,34.4,356.2,795.7,2497.0,91.1,61.8,32.0,2.53,0.235,85.3,2,HIGH
Arunachal Pradesh,47.1,269.4,585.6,2376.0,67.5,28.8,57.6,2.08,0.249,81.0,2,HIGH
Sikkim,36.5,397.4,786.6,1908.0,87.2,55.6,27.2,2.34,0.249,89.3,2,HIGH
Meghalaya,16.2,84.6,182.1,816.0,31.6,5.0,42.0,2.21,0.04,33.5,0,LOW
Arunachal Pradesh,31.5,314.4,765.0,1574.0,79.5,42.8,32.2,1.83,0.219,67.5,1,MODERATE
Sikkim,31.4,109.7,243.2,1200.0,42.9,13.2,14.3,2.23,0.142,41.7,1,MODERATE
Meghalaya,39.7,183.1,333.5,1267.0,51.2,19.6,36.5,2.37,0.175,57.3,1,MODERATE
Arunachal Pradesh,31.3,29.2,123.1,1224.0,42.7,9.7,32.0,2.04,0.104,43.4,1,MODERATE
Sikkim,51.0,155.1,368.8,2609.0,51.6,20.3,52.9,2.31,0.222,66.1,1,MODERATE
Sikkim,40.5,121.6,343.1,2690.0,45.4,10.9,11.5,2.27,0.126,46.6,1,MODERATE
Sikkim,39.4,201.1,623.2,2527.0,66.4,30.8,25.6,2.48,0.204,63.4,1,MODERATE
Arunachal Pradesh,48.7,118.5,231.5,2483.0,53.3,18.3,12.4,1.88,0.152,48.0,1,MODERATE
Meghalaya,44.3,286.3,472.8,1575.0,68.9,40.6,59.8,2.3,0.269,75.4,2,HIGH
Arunachal Pradesh,30.5,128.3,335.7,2418.0,45.2,14.3,34.0,1.73,0.114,38.1,0,LOW
Sikkim,54.7,111.9,275.3,2522.0,49.6,17.4,14.0,2.48,0.22,54.4,1,MODERATE
Sikkim,46.1,216.3,511.4,2331.0,58.3,29.2,50.3,2.53,0.217,71.6,2,HIGH
Meghalaya,26.7,186.3,461.4,493.0,62.4,27.7,19.6,2.05,0.137,47.2,1,MODERATE
Arunachal Pradesh,43.6,355.5,836.5,2478.0,78.1,45.4,41.1,1.85,0.196,79.6,2,HIGH
Meghalaya,38.9,33.4,111.2,372.0,29.8,7.0,19.8,2.03,0.119,33.2,0,LOW
Meghalaya,23.1,469.9,946.5,1356.0,92.8,62.6,28.2,2.23,0.215,89.3,2,HIGH
Meghalaya,34.4,303.3,529.3,1491.0,66.9,26.6,37.0,2.14,0.226,68.3,1,MODERATE
Meghalaya,26.0,284.6,555.8,413.0,77.5,42.4,14.0,2.25,0.171,62.2,1,MODERATE
Meghalaya,46.8,321.5,860.1,744.0,82.9,49.0,34.0,2.38,0.272,82.7,2,HIGH
Meghalaya,41.1,256.4,380.5,804.0,59.8,31.4,30.5,2.19,0.185,66.8,1,MODERATE
Arunachal Pradesh,31.7,121.5,341.3,848.0,48.1,16.7,30.2,2.06,0.177,47.7,1,MODERATE
Arunachal Pradesh,39.7,60.1,111.5,318.0,42.1,12.6,34.2,1.76,0.153,48.7,1,MODERATE
Arunachal Pradesh,53.2,167.7,383.0,1747.0,48.9,15.5,10.7,2.04,0.178,56.8,1,MODERATE
Sikkim,44.4,257.7,505.1,1352.0,71.4,32.5,38.0,2.5,0.21,72.9,2,HIGH
Sikkim,35.1,112.6,196.7,2208.0,47.0,16.9,30.6,2.58,0.152,51.0,1,MODERATE
Sikkim,36.7,50.6,140.8,1745.0,47.6,18.4,39.2,2.27,0.158,42.3,1,MODERATE
Arunachal Pradesh,49.0,351.8,919.2,776.0,86.9,59.7,48.3,1.91,0.265,86.4,2,HIGH
Meghalaya,28.5,288.5,812.2,1347.0,72.9,40.0,15.2,2.29,0.19,62.1,1,MODERATE
Arunachal Pradesh,36.1,351.0,546.0,2422.0,73.3,37.8,56.5,1.91,0.2,79.4,2,HIGH
Meghalaya,30.0,59.7,161.1,612.0,39.1,5.3,37.4,2.02,0.095,40.5,1,MODERATE
Arunachal Pradesh,38.3,170.1,389.7,1843.0,53.7,16.5,37.7,2.04,0.198,51.3,1,MODERATE
Arunachal Pradesh,35.4,53.9,120.1,2500.0,38.9,12.4,42.1,1.81,0.112,50.1,1,MODERATE
Sikkim,35.2,133.4,235.2,1954.0,43.3,12.4,11.3,2.33,0.154,38.9,0,LOW
Arunachal Pradesh,42.0,51.3,150.5,1331.0,35.0,8.0,41.2,2.07,0.122,45.9,1,MODERATE
Arunachal Pradesh,50.3,163.3,485.3,2898.0,51.4,18.3,29.0,2.06,0.215,61.9,1,MODERATE
Sikkim,46.3,90.4,198.4,2452.0,36.4,7.2,31.0,2.54,0.174,52.0,1,MODERATE
Arunachal Pradesh,26.1,177.7,524.0,460.0,60.8,25.4,25.6,2.03,0.123,54.6,1,MODERATE
Arunachal Pradesh,39.1,244.4,469.7,2971.0,60.9,22.0,26.2,1.8,0.179,52.3,1,MODERATE
Arunachal Pradesh,51.5,173.6,477.0,3043.0,53.5,15.7,55.2,1.94,0.239,64.3,1,MODERATE
Arunachal Pradesh,55.5,99.1,214.7,2191.0,45.0,16.1,40.7,1.71,0.214,53.1,1,MODERATE
Meghalaya,24.9,330.2,656.2,470.0,76.3,45.7,36.5,2.12,0.215,69.4,1,MODERATE
Meghalaya,40.1,328.5,897.3,894.0,70.2,32.9,60.5,2.03,0.229,82.3,2,HIGH
Meghalaya,18.9,36.1,158.5,587.0,34.2,9.9,20.5,2.2,0.088,33.7,0,LOW
Meghalaya,21.7,88.4,225.2,913.0,40.7,8.9,17.3,2.38,0.077,35.7,0,LOW
Meghalaya,30.8,155.0,352.8,978.0,57.5,24.1,5.6,2.02,0.162,43.9,1,MODERATE
Sikkim,30.7,335.6,538.1,2808.0,80.1,38.8,32.8,2.36,0.231,66.7,1,MODERATE
Sikkim,31.5,393.1,626.4,2803.0,81.8,43.1,24.9,2.58,0.241,79.6,2,HIGH
Meghalaya,16.9,326.6,515.9,871.0,66.8,31.1,16.6,2.03,0.168,57.7,1,MODERATE
Meghalaya,27.2,440.9,1078.9,1184.0,98.0,75.5,45.3,2.32,0.235,92.3,2,HIGH
Sikkim,49.1,418.2,801.5,2160.0,83.3,49.2,74.9,2.4,0.255,99.0,2,HIGH
Sikkim,32.7,145.2,278.5,1440.0,51.4,18.4,8.7,2.56,0.149,46.0,1,MODERATE
Sikkim,45.0,163.4,440.7,1604.0,47.7,14.8,21.9,2.4,0.197,54.6,1,MODERATE
Sikkim,48.4,285.2,774.7,2010.0,73.9,40.2,34.9,2.3,0.269,77.7,2,HIGH
Sikkim,45.6,244.6,576.8,2707.0,68.4,31.6,23.6,2.31,0.209,64.5,1,MODERATE
Sikkim,31.3,180.7,374.4,2084.0,51.5,15.6,24.1,2.59,0.132,44.8,1,MODERATE
Arunachal Pradesh,46.2,302.0,604.3,2750.0,72.0,29.2,16.8,2.09,0.222,62.2,1,MODERATE
Sikkim,30.8,359.1,759.4,1441.0,78.6,40.8,40.3,2.42,0.209,73.5,2,HIGH
Meghalaya,24.5,423.0,1030.5,962.0,91.1,64.1,22.4,2.12,0.204,87.2,2,HIGH
Meghalaya,42.2,474.9,1261.8,1193.0,98.0,71.2,39.4,2.16,0.308,93.2,2,HIGH
Sikkim,33.6,366.3,1010.1,2838.0,86.1,51.2,35.6,2.38,0.2,90.8,2,HIGH
Sikkim,42.3,160.2,426.4,2225.0,55.3,27.2,18.7,2.4,0.16,53.0,1,MODERATE
Meghalaya,16.8,256.5,588.8,892.0,65.0,26.5,30.6,2.12,0.153,57.2,1,MODERATE
Sikkim,46.7,355.4,840.0,2025.0,79.6,45.5,47.3,2.37,0.263,78.5,2,HIGH
Arunachal Pradesh,39.3,379.7,665.8,1955.0,94.1,61.2,40.3,1.81,0.242,85.5,2,HIGH
Meghalaya,17.6,79.6,144.9,476.0,38.2,5.0,45.4,2.24,0.101,42.5,1,MODERATE
Sikkim,44.9,393.6,1045.9,1986.0,94.8,66.2,52.9,2.6,0.229,90.5,2,HIGH
Sikkim,47.7,372.9,838.3,1659.0,86.6,57.1,46.4,2.24,0.266,93.9,2,HIGH
Meghalaya,29.9,268.6,780.0,705.0,68.3,32.5,46.7,2.14,0.141,64.7,1,MODERATE
Meghalaya,41.2,390.8,729.0,746.0,81.1,48.2,9.4,2.29,0.275,75.3,2,HIGH
Sikkim,51.4,125.4,318.3,2779.0,49.8,11.5,18.0,2.24,0.186,56.6,1,MODERATE
Meghalaya,33.4,328.7,837.7,1246.0,77.8,44.0,20.5,2.38,0.194,68.6,1,MODERATE
Arunachal Pradesh,26.6,224.1,603.6,1249.0,57.5,24.2,6.4,1.99,0.185,54.3,1,MODERATE
Sikkim,47.9,378.3,924.6,2449.0,89.7,56.7,46.2,2.41,0.24,91.2,2,HIGH
Arunachal Pradesh,45.4,300.2,784.3,369.0,77.3,44.0,33.5,1.83,0.21,73.4,2,HIGH
Arunachal Pradesh,50.6,94.5,227.8,1651.0,46.5,11.6,18.4,2.06,0.14,51.2,1,MODERATE
Meghalaya,41.4,184.0,411.4,1579.0,52.3,14.9,30.6,2.1,0.181,57.2,1,MODERATE
Arunachal Pradesh,31.5,360.8,661.9,869.0,87.3,57.0,15.1,1.91,0.203,93.8,2,HIGH
Meghalaya,35.1,292.8,637.9,851.0,78.5,43.0,40.6,2.22,0.202,71.3,2,HIGH
Arunachal Pradesh,36.7,254.4,604.9,2248.0,61.5,28.0,7.1,1.88,0.2,58.0,1,MODERATE
Meghalaya,29.9,201.1,343.7,907.0,53.0,20.7,8.1,2.35,0.144,45.9,1,MODERATE
Sikkim,53.7,179.3,449.4,1988.0,60.7,22.7,73.9,2.27,0.221,77.5,2,HIGH
Meghalaya,31.6,484.1,872.0,511.0,91.0,57.7,38.4,2.27,0.253,85.1,2,HIGH
Sikkim,36.1,284.4,611.2,1393.0,73.6,36.5,60.0,2.28,0.222,71.8,2,HIGH
Meghalaya,17.9,428.1,1056.2,748.0,93.2,63.9,26.0,2.09,0.195,87.1,2,HIGH
Meghalaya,27.0,540.1,1271.5,517.0,98.0,71.2,4.6,2.05,0.282,85.0,2,HIGH
Arunachal Pradesh,35.1,191.3,337.6,3151.0,61.3,23.4,31.5,1.75,0.138,56.4,1,MODERATE
Sikkim,42.3,348.3,764.0,2272.0,78.9,47.3,52.6,2.37,0.227,81.4,2,HIGH
Sikkim,34.5,272.6,795.3,1546.0,75.7,44.3,25.9,2.21,0.204,66.8,1,MODERATE
Arunachal Pradesh,39.4,206.7,409.7,2439.0,54.3,18.3,23.6,1.88,0.19,51.8,1,MODERATE
Meghalaya,24.0,479.5,1162.0,934.0,98.0,68.1,18.5,2.4,0.2,90.8,2,HIGH
Meghalaya,45.4,499.4,751.2,1235.0,93.3,65.0,20.3,2.33,0.278,95.2,2,HIGH
Arunachal Pradesh,42.9,62.2,136.8,2069.0,44.8,12.0,16.7,1.77,0.162,40.1,1,MODERATE
Sikkim,54.2,78.8,164.5,2739.0,46.5,9.6,45.2,2.37,0.191,57.5,1,MODERATE
Sikkim,40.7,69.2,157.9,1932.0,40.7,5.9,59.8,2.52,0.153,58.1,1,MODERATE
Sikkim,40.7,121.4,244.8,2938.0,41.9,7.3,8.4,2.47,0.156,45.7,1,MODERATE
Sikkim,46.9,319.4,479.7,2340.0,73.3,40.3,21.5,2.54,0.245,70.8,2,HIGH
Meghalaya,38.5,385.3,748.6,1358.0,84.5,47.3,46.5,2.06,0.205,85.7,2,HIGH
Sikkim,45.0,281.6,478.2,1280.0,71.0,35.7,58.3,2.21,0.186,84.8,2,HIGH
Sikkim,51.3,290.3,521.0,1578.0,73.7,36.7,52.1,2.29,0.23,81.1,2,HIGH
Sikkim,43.5,58.4,160.8,2647.0,26.4,5.0,47.2,2.25,0.188,55.1,1,MODERATE
Arunachal Pradesh,33.6,123.4,250.2,2953.0,46.8,14.4,28.7,1.74,0.146,44.2,1,MODERATE
Sikkim,53.5,301.7,492.4,1776.0,73.4,39.9,38.5,2.22,0.246,72.4,2,HIGH
Arunachal Pradesh,48.1,292.0,497.5,2644.0,69.7,36.1,67.3,1.86,0.237,84.4,2,HIGH
Meghalaya,43.2,199.5,343.5,1064.0,57.6,23.1,44.2,2.36,0.207,73.3,2,HIGH
Meghalaya,18.7,146.6,431.4,520.0,45.0,11.8,3.6,2.13,0.159,42.1,1,MODERATE
Sikkim,41.6,406.6,812.0,1638.0,93.2,63.5,32.9,2.21,0.288,88.1,2,HIGH
Meghalaya,48.1,506.1,1164.2,1364.0,98.0,73.4,50.3,2.08,0.289,98.3,2,HIGH
Arunachal Pradesh,31.5,359.5,1031.0,2970.0,78.2,44.6,42.2,1.96,0.211,74.9,2,HIGH
Meghalaya,18.9,223.2,644.6,1084.0,61.9,27.1,29.1,2.27,0.147,52.2,1,MODERATE
Sikkim,32.0,37.0,95.9,2880.0,40.2,11.7,32.3,2.34,0.101,42.3,1,MODERATE
Arunachal Pradesh,25.9,162.3,475.3,2218.0,57.2,19.5,31.8,1.97,0.152,46.1,1,MODERATE
Sikkim,33.5,356.1,606.7,1648.0,72.8,35.2,33.4,2.36,0.212,73.6,2,HIGH
Sikkim,34.1,375.4,602.5,2229.0,85.2,50.0,34.4,2.4,0.225,86.9,2,HIGH
Arunachal Pradesh,36.9,47.8,100.6,503.0,37.0,11.3,18.9,2.01,0.128,40.3,1,MODERATE
Arunachal Pradesh,38.3,33.7,89.2,1403.0,39.9,7.9,47.6,1.76,0.099,37.8,0,LOW
Meghalaya,42.3,211.7,483.4,793.0,60.7,18.4,29.7,2.2,0.203,60.2,1,MODERATE
Sikkim,46.7,283.8,814.3,2856.0,73.8,35.8,61.3,2.44,0.24,79.9,2,HIGH
Arunachal Pradesh,27.8,184.3,336.5,254.0,59.7,17.5,37.8,1.97,0.142,54.6,1,MODERATE
Arunachal Pradesh,40.6,204.7,383.5,2909.0,61.2,24.6,54.9,1.97,0.178,72.1,2,HIGH
Arunachal Pradesh,44.5,253.2,480.7,2731.0,67.0,29.7,49.7,1.99,0.222,66.0,1,MODERATE
Meghalaya,18.6,303.8,492.7,1268.0,74.8,36.0,34.3,2.15,0.169,61.9,1,MODERATE
Arunachal Pradesh,37.6,176.7,376.2,1778.0,53.0,22.0,32.8,1.97,0.154,51.0,1,MODERATE
Meghalaya,40.3,325.9,763.9,1104.0,89.4,60.4,24.6,2.08,0.227,77.6,2,HIGH
Arunachal Pradesh,26.7,28.7,116.7,1726.0,38.1,6.5,13.9,1.78,0.061,27.2,0,LOW
Sikkim,46.8,283.9,764.4,1332.0,79.1,47.0,20.1,2.22,0.247,72.3,2,HIGH
Arunachal Pradesh,42.8,182.2,553.4,395.0,52.0,17.1,40.8,1.93,0.167,56.5,1,MODERATE
Sikkim,31.6,387.2,899.2,2291.0,87.2,61.6,45.3,2.43,0.249,94.7,2,HIGH
Sikkim,46.3,247.3,633.0,2217.0,66.0,27.6,61.0,2.6,0.218,71.0,2,HIGH
Sikkim,53.9,201.7,503.2,2250.0,60.2,25.4,40.5,2.37,0.243,66.5,1,MODERATE
Sikkim,39.2,364.1,735.5,1965.0,84.1,50.6,47.6,2.4,0.239,84.8,2,HIGH
Sikkim,38.7,258.8,460.8,1897.0,65.2,33.8,17.4,2.49,0.202,57.6,1,MODERATE
Meghalaya,42.1,317.9,709.2,464.0,68.7,33.5,17.4,2.01,0.25,75.2,2,HIGH
Sikkim,46.2,198.1,409.5,1289.0,68.1,32.1,25.6,2.29,0.216,64.8,1,MODERATE
Sikkim,37.0,346.5,559.6,1327.0,80.6,48.2,41.7,2.59,0.236,81.1,2,HIGH
Meghalaya,36.8,306.2,811.1,1119.0,71.2,30.3,46.6,2.04,0.213,65.5,1,MODERATE
